Car_ID,Image,OCR_Text,Character,Integrity,Mismatch
car (1).jpg,Front,JrS3220IC7/L,JrS3220,Broken/Missing,Yes
car (1).jpg,Front,JrS3220IC7/L,IC,Intact,Yes
car (1).jpg,Front,JrS3220IC7/L,7/L,Broken/Missing,Yes
car (1).jpg,Rear,JFS3220,JFS3220,Broken/Missing,Yes
car (10).jpg,Front,JKB 39 2A1/,JKB 39 2,Broken/Missing,Yes
car (10).jpg,Front,JKB 39 2A1/,A1,Broken/Missing,Yes
car (10).jpg,Front,JKB 39 2A1/,/,Broken/Missing,Yes
car (10).jpg,Rear,099X32a2423322,099X3,Broken/Missing,Yes
car (10).jpg,Rear,099X32a2423322,2a,Broken/Missing,Yes
car (10).jpg,Rear,099X32a2423322,2423322,Broken/Missing,Yes
car (11).jpg,Front,/AT,/,Broken/Missing,Yes
car (11).jpg,Front,/AT,AT,Broken/Missing,Yes
car (11).jpg,Rear,192E Hr,192E Hr,Broken/Missing,Yes
car (12).jpg,Front,JD 12541,JD 1254,Broken/Missing,Yes
car (12).jpg,Front,JD 12541,1,Broken/Missing,Yes
car (12).jpg,Rear,RJDL 1254/,R,Broken/Missing,Yes
car (12).jpg,Rear,RJDL 1254/,JDL 1254,Broken/Missing,Yes
car (12).jpg,Rear,RJDL 1254/,/,Broken/Missing,Yes
car (2).jpg,Front,EETMB361I,EE,Broken/Missing,Yes
car (2).jpg,Front,EETMB361I,TM,Broken/Missing,Yes
car (2).jpg,Front,EETMB361I,B361,Broken/Missing,Yes
car (2).jpg,Front,EETMB361I,I,Broken/Missing,Yes
car (2).jpg,Rear,JalTMBPB 36168090K4/J,Jal,Broken/Missing,Yes
car (2).jpg,Rear,JalTMBPB 36168090K4/J,TM,Broken/Missing,Yes
car (2).jpg,Rear,JalTMBPB 36168090K4/J,BPB 3616,Broken/Missing,Yes
car (2).jpg,Rear,JalTMBPB 36168090K4/J,80,Intact,Yes
car (2).jpg,Rear,JalTMBPB 36168090K4/J,90,Broken/Missing,Yes
car (2).jpg,Rear,JalTMBPB 36168090K4/J,K4/J,Broken/Missing,Yes
car (3).jpg,Front,JPH 87911BPC 301I1E,JPH 8791,Intact,Yes
car (3).jpg,Front,JPH 87911BPC 301I1E,1,Broken/Missing,Yes
car (3).jpg,Front,JPH 87911BPC 301I1E,BPC 301I,Broken/Missing,Yes
car (3).jpg,Front,JPH 87911BPC 301I1E,1E,Broken/Missing,Yes
car (3).jpg,Rear,BPC 3013/,BPC 301,Intact,Yes
car (3).jpg,Rear,BPC 3013/,3/,Broken/Missing,Yes
car (4).jpg,Front,-1JHAT 955,-,Broken/Missing,Yes
car (4).jpg,Front,-1JHAT 955,1,Broken/Missing,Yes
car (4).jpg,Front,-1JHAT 955,JHA,Broken/Missing,Yes
car (4).jpg,Front,-1JHAT 955,T 955,Broken/Missing,Yes
